template_key,descripcion,contenido,pdf_url,descripcion_old
CITA AGENDADA,Aplica cuando ya se ofreció/definió día y hora de cita. Requiere: fecha y hora concreta en el cuerpo del mensaje. NO confirmar asistencia ni reprogramar automáticamente.,"Hola!!

Perfecto :)
El próximo XXXXXXX (horario español) tenemos una cita!!
Unos minutos antes de la consulta te enviaré un link de Google Meet por este medio para que podamos conectarnos.

Abrazo.

Sai.

-----------------------

Cuatro cosas importantes!

1. Recuerda anotar muy bien todas tus preguntas para que no queden dudas.

2. Ten a mano tu pasaporte o pasaportes así que como tu tarjeta de residencia por si necesitamos información sobre ellas. De la misma forma, te recomiendo que también cuentes con tus resoluciones de autorizaciones por si llegaran a ser necesarias.

3. Para cambiar la fecha y hora de la cita es necesario avisar con una antelación mínima de 72 horas y habría que buscar un nuevo hueco (la lista de espera es de unas 3 semanas).

3. Si el día de la cita no te conectas perderás la consulta y, si quieres tener otra, tendrás que abonar de nuevo. Las citas no se reagendan.",,"debe enviarse a aquellas personas a las que se le ofreció una cita y ya la han pagado. En este momento se les confirma la cita con este template -obviamente, habría que completar el día y la hora"
HOMOLOGACIÓN,Aplica a consultas sobre homologación de títulos/estudios. Se deriva a colaboradora indicada. Requiere: interés en homologación. NO usar para convalidaciones migratorias ni visados.,"Hola!

Gracias por escribirnos.

Lamentablemente no llevamos el trámite de homologación de títulos, pero pongo en copia a Verónica que estoy segura de que va a poder ayudarte.

Un abrazo a las dos!

Sai.",,"debe enviarse a aquellas personas que me preguntan por servicios de homologación de títulos en España, que yo hace mucho tiempo que no llevo. Lo derivo directamente  a una muy amiga mía, Verónica). En este caso, envío esa plantilla y pongo en copia a Verónica, cuyo mail es: homologate.es@gmail.com."
GESTOR DE CONFIANZA,"Aplica a consultas sobre ALTA de autónomo, impuestos, contabilidad u otros temas tributarios. Se deriva al gestor de confianza. Requiere: interés contable/fiscal. NO usar para trámites de extranjería.","Hola!

Nosotros no realizamos esos trámites pero te derivo con Fede que es EL MEJOR en estos casos!
Te mando el número de whatsapp para que puedas escribirle!
Federico Vivono: +34 722 81 29 94
Abrazo!

Sai.",,"debe enviarse a aquellas personas que me preguntan por servicios de gestoría: montar empresa, darse de alta como autónomo en España, contable, temas tributarios, etc."
ASILO,"Aplica a personas con solicitud de Protección Internacional/Asilo que piden orientación práctica (trabajo, documentación, etc.) bajo el nuevo Reglamento. Requiere: estar en trámite de asilo. NO usar para otras vías de residencia.","Hola!

Gracias por escribir.

La realidad es que nos está costando mucho poder aconsejaros a todos aquellos que estáis con la solicitud de Protección Internacional de cara a la entrada en vigor del nuevo reglamento de mayo de 2025.

Ya sabéis que, con el nuevo reglamento, el tiempo que habéis permanecido como solicitantes de asilo no se tendrá en cuenta a la hora de tramitar una autorización de residencia por arraigo en un momento posterior.

¿Qué quiere decir esto? pues que al entrar en vigor el nuevo reglamento si en un momento posterior os deniegan el asilo (o el recurso interpuesto), tendréis que comenzar a contar los dos años de nuevo para poder regularizarse.

A la hora de recomendaros algo se nos plantean varias situaciones:

1. Si creéis que os van a conceder asilo o razones humanitarias, es decir, si realmente cumplís los requisitos para la protección y no solicitasteis asilo sólo para permanecer en España más allá de los 90 días, dejar la situación como está y esperar a la resolución de concesión.

2. Si sabéis que os lo van a denegar mi consejo es que renuncies al asilo para que el tiempo necesario para tramitar un arraigo comience a contar ya mismo. Ya se que es complicado la renuncia porque supone tener que dejar de trabajar (si estáis trabajando)  pero creo que es mejor hacer esto y poder regularizaros lo antes posible a esperar a que os denieguen y estar otros dos años de forma irregular...

3. La otra alternativa es que esperéis un tiempo por si el Gobierno dicta alguna instrucción que os ayude a regularizaros a todos los que os encontráis en este tipo de situación.

La realidad es que cualquiera de las decisiones que toméis es complicada, pero estoy segura de que antes de lo que creéis esta etapa habrá pasado y tendréis vuestra ansiada residencia.

Un abrazo y mucho, mucho ánimo.

Sai.",,"debe enviarse a aquellas personas que se encuentran como solicitantes de asilo, aún no les han resuelto la solicitud y no saben qué hacer con su vida con el nuevo reglamento de extranjería"
EMIGRAR SIN PASAPORTE EUROPEO,"Aplica a quienes NO tienen ciudadanía de la UE/EEE y preguntan vías para VIVIR en España. Contiene panorama general de opciones (arraigos, estudio, emprendimiento, familiar UE, etc.). Requiere: consulta abierta sin supuesto definido. NO usar si el caso encaja en una plantilla específica (usar la correspondiente).","Hola, 
Gracias por escribir.

Tu pregunta es bastante abierta pues no conozco tus circunstancias, entendiendo que NO tienes pasaporte europeo ni te encuentras en ninguna de las situaciones que te generan ventaja a la hora de tramitar una residencia en España, por tanto la situación se vuelve más compleja.

Te voy a copiar aquí las posibilidades generales que espero puedan ayudarte,

Un abrazo!!
 
EMIGRAR SIN PASAPORTE EUROPEO
 
Esta es la pregunta que más nos cuesta responder: ¿Cómo vivir en España sin pasaporte europeo, sin vínculo comunitario o sin ser hijo o nieto de español de origen?     	       

Y la respuesta es complicada, básicamente, porque tendríamos que explicaros en un mail todos los visados que existen en la legislación española. En resumen, una locura.

Así que te hago un pequeño resumen de la tipología más importante e invitándote que eches un ojo a nuestro Instagram @sentirextranjero donde damos muchísima información de forma gratuita y, en caso de seguir queriendo algo más personal, te invitamos a que agendes una cita con nosotros.

Bien, fuera del ámbito comunitario nos tenemos que mover por el régimen general donde existen una infinidad de posibilidades, cada una con sus propios requisitos y el decantarse por una u otra dependerá de tu intención final: vivir un tiempo en España o establecer tu residencia más o menos estable aquí.

Allá vamos!      
              

- ESTANCIA DE ESTUDIOS: autorización que te permitirá estudiar en España sin limitación de tiempo siempre que renueves cada año tu autorización acreditando los requisitos necesarios.

PROS: No exigen muchos requisitos y los medios a acreditar son bastante bajos en comparación con otros tipos de autorizaciones (unos 600€ al mes); además es un permiso que puede tramitarse directamente desde España, tu familia directa puede acompañarte y si los estudios son superiores te permitirá trabajar 30 horas semanales.

CONTRAS: El contra más importante de esta autorización es que NO se considera residencia sino estancia, por lo tanto el tiempo como estudiante no computa para la nacionalidad española, de forma que hasta que no modifiques la estancia de estudios en un permiso de residencia no se te considerará residente.

- RESIDENCIA NO LUCRATIVA: este tipo de residencia te permitirá permanecer en España por un periodo de 12 meses sin realizar ninguna actividad laboral, pudiendo solicitar un permiso de trabajo una vez concluya el primer año y siempre que cuentes con un empleador.

PROS: es residencia, computa para nacionalidad y no dependes de ninguna otra persona, es decir, solo necesitas acreditar medios económicos.

Además, tu familia (cónyuge, pareja de hecho, hijos menores o mayores a tu cargo) podrán acompañarte desde el principio.

CONTRAS: no te permitirá trabajar los primeros 12 meses y, además, debes acreditar 28.000€ para una sola persona y 8.000€ más por cada familiar adicional.

Además, no basta que te presenten el dinero y lo metas en tu cuenta bancaria, sino que debes acreditar que el dinero es tuyo, su origen lícito y, por general, que lleva en tu cuenta bancaria, al menos, 12 meses, aunque esto último dependerá de cada consulado.

- PROFESIONAL ALTAMENTE CUALIFICADO: es una autorización de residencia y trabajo que te permitirá residir por tres años (renovables) siempre que tu contrato sea de Altamente Cualificado (medicina, ingeniería y, en general, cualquiera que requiera un título superior).

PROS: tu familia puede acompañarte; los plazos de resolución son muy breves y puede tramitarse desde el consulado o desde territorio español.

CONTRAS: Primero necesitas contar con un empleador que haga el trámite, te encontrarás ligado al empleador, de forma que si cambias de empleador debes tramitar otro permiso con el nuevo empleador, además, si la profesión que vas a ejercer es regulada en España tendrás que tener el título previamente homologado.

- CUENTA PROPIA: Para aquellos que quieran realizar una actividad profesional propia en España.

PROS: no requieres ningún empleador sino que depende de tu propio proyecto de actividad y se considera residencia.

CONTRAS: tu familia no puede acompañarte, de forma que ellos tendrán que buscar otra forma de acompañarte en España.

Además es un trámite que siempre debes hacerlo desde el propio consulado (nunca desde España).

- EMPRENDEDORES: al igual que el visado por cuenta propia, este también es para iniciar una actividad profesional en España.

La diferencia entre ambas es que el permiso de cuenta propia admite cualquier proyecto de actividad siempre que se considere viable, mientras que en el caso de emprendedores, debe tratarse de un proyecto de interés general para la población.

PROS: Tu familia puede acompañarte, se puede tramitar desde España y se considera residencia.

CONTRAS: debido a que se encuentra regulada en la Ley de emprendedores exige que el proyecto sea innovador (innovación, tecnología, creación de puestos de trabajo en España, impacto socioeconómico, etc.), debiendo obtener una resolución de innovación por parte de ENISA, tremendamente complicado de conseguir.

-  NÓMADA DIGITAL:  esta residencia es para aquellos que pueden ejercer actividad laboral a remoto. Es necesario que sea una profesión cualificada, que tengan titulación para ello, que trabajen para una empresa ubicada en el extranjero y que el salario sea de, al menos, unos 2.800€ mensuales.

Es importante tener en cuenta que este tipo de residencia te permitirá residir pero NO trabajar para empresas ubicadas en España.

PROS: Tu familia puede acompañarte, se puede tramitar desde España y se considera residencia.

CONTRAS: al ser una residencia de la ley de emprendedores no es posible cambiar de empresa, de forma que tendrás que mantener el contrato. Si dejas de trabajar para la empresa inicial podrás tramitar otro nómada digital siempre que cumplas requisitos con otra empresa.

Hay algunas autorizaciones más pero estas son las más comunes y las más conocidas.

En nuestras redes siempre puedes encontrar mucha información sobre las formas de llegar a España :) 	

Esperamos que os quede algo más clara la situación y podáis tomar una decisión!
 
Te mando un saludo.

Sai.",,"esta plantilla es para las personas que escriben que, sin mas, quieren salir de su país y no saben bien cuales son las alternativas que tienen. Yo les comparto un resumen de las diferentes opciones para que vean si pueden encajar en alguno"
RESIDENCIA PARA INVERSORES,Mensaje informativo: el visado/residencia para inversores (antigua 'Golden Visa') fue suprimido. Se explica situación y alternativas. Usar solo ante consultas por este visado. NO usar para otros supuestos (emprender/PAC/nomad).,"Hola,
Gracias por escribir.

Lamentablemente el visado para inversores, también conocido como ""Golden Visa"", fue derogado por la LO 1/2025 que entró en vigor el 3 de abril del año 2025, en decisión tomada  por el gobierno español, argumentando que este tipo de visado fomentaba la especulación inmobiliaria. Dicha Ley Orgánica 1/2025, que entró en vigor el 3 de abril, eliminó los artículos que regulaban este tipo de visado en la Ley 14/2013.

Este tipo de residencia permitía  residir y trabajar en España sin ningún tipo de problema a su titular. Además, al ser una residencia que se encontraba regulada en la Ley de emprendedores (no en el reglamento de extranjería), tenía dos ventajas importantes: primero, que podías tramitarla desde tu país de origen o bien desde España dentro de los 90 días de turista; y segundo, que tu familia directa podía acompañarte.

No obstante, la golden visa NO  era para todos, pues los montos exigidos eran bastante altos.

•	Inversión inmobiliaria: Adquisición de bienes inmuebles por un valor igual o superior a 500.000 euros (antes de impuestos). Además dicho dinero debía ser tuyo, de forma que no se permitía financiación sino en la parte que excediera de dicha cuantía.

•	Deuda pública española: Inversión de 2 millones de euros en títulos de deuda pública.

•	Acciones o participaciones sociales: Inversión de 1 millón de euros en acciones o participaciones de sociedades de capital español.

•	Fondos de inversión: Inversión de 1 millón de euros en fondos de inversión o fondos de capital riesgo constituidos en España.

•	Depósitos bancarios: Depósito de 1 millón de euros en entidades financieras española.

Sea como sea esta autorización de residencia ya no existe en nuestro país, sin embargo, aquellos que hubieran obtenido la misma antes de su derogación podrán seguir renovándola sin problema si cumplen los requisitos para ello.

Un saludo.

Sai.",,"esta plantilla es para las personas que escriben preguntando por la posibilidad de obtener una residencia en España mediante la inversión. La mayoría de ellos preguntan si pueden tramitar residencia en España comprándose una casa -algo que no era suficiente-, sin embargo, sea como sea, esta residencia ya NO existe. Por ello esta plantilla se envía a aquellos que quieran hacerla por primera vez, sin perjuicio de que si obtuvieron una residencia de inversor antes de su derogación van a poder seguir renovándola si mantienen dicha inversión"
RESIDENCIA PARA PROFESIONAL ALTAMENTE CUALIFICADO,"Aplica a ofertas de empleo cualificado en España (perfil directivo/técnico, salario y requisitos del PAC). Requiere: oferta concreta y perfil alineado. NO usar para empleo estándar ni para autónomos.","Hola, 
Gracias por escribir.

La residencia de PAC es una autorización de residencia y trabajo que te permitirá residir por tres años (renovables) en España siempre que tu contrato sea de Altamente Cualificado (medicina, ingeniería y, en general, cualquiera que requiera un título superior) y dicho título se encuentre homologado en España (en el caso de tratarse de una profesión regulada).

Es importante tener en cuenta que para poder tramitar este tipo de autorización es necesario que ya cuentes con una oferta de empleo y que sea el propio empleador el que haga el trámite, por lo tanto, no podrás tramitarlo si no tienes un empleador que te quiera contratar.

Además la oferta debe ser de Altamente Cualificado, es decir, con un salario de unos 45.000€ anuales brutos (aunque puede ser de 32.000 para menores de 30 años), que el puesto esté relacionado con tu profesión y que te den de alta en el grupo de cotización 1 o 2.

La residencia de profesional altamente cualificado tiene varias ventajas y algunos inconvenientes que te paso a detallar:

PROS: tu familia puede acompañarte (cónyuge, pareja de hecho e hijos menores de edad o mayores a tu cargo); los plazos de resolución son muy breves (suelen ser resueltos en unos 20 días hábiles);  puede tramitarse desde el consulado o desde territorio español (dentro de los 90 días de turista) y al ser residencia, el tiempo como PAC computa para tramitar nacionalidad española por residencia.

CONTRAS: Es el empleador quien debe presentar el trámite (nosotros podemos presentarlo siempre que el empleador nos apodere), y el trabajador se encuentra ligado al empleador, de forma que si cambias de empleador debes tramitar otro permiso con el nuevo empleador y, si no lo haces, quedarás irregular.

Nosotros realizamos el procedimiento ante la Unidad de Grandes Empresas (UGE) si el empleador está de acuerdo, y nos proporciona los documentos necesarios, por un precio de 350€+IVA (21%) + la tasa de tramitación que, en este caso, es de 74€. De la misma manera, realizamos los trámites de los familiares.

En caso de presentar más de un trámite, en el segundo trámite y posteriores hay un 10% de descuento.

Espero haberte ayudado.

Un abrazo.

Sai.",,"esta plantilla es para las personas que escriben preguntando por la posibilidad de tramitar una residencia de profesional altamente cualificado, es decir, preguntan directamente por ella porque han escuchado hablar sobre esta residencia y les llama la atención"
HIJO DE ESPAÑOL DE ORIGEN,Aplica a hijos/as de español de origen (no por opción) que desean residencia por arraigo familiar u otra vía preferente. Requiere: acreditar condición de español de origen del progenitor. NO usar para nietos/bisnietos (ver LMD) ni para matrimonio.,"Hola!

Gracias por escribir.

Antes de nada, y para saber si aplicar al antiguo supuesto de residencia de familiar de español (por ser hijo de padre o madre de español de origen español) debería ver el acta ESPAÑOLA de ese padre o madre español, pues necesito comprobar que su nacionalidad es originaria.

Debes saber que esta residencia para hijos ha pasado a denominarse residencia de familiar de español (y ya no arraigo familiar) y ha cambiado algo con respecto a la anterior regulación.

Así, antes del 20 de mayo de 2025 la residencia de arraigo familiar podía tramitarse por aquellos que tuvieran un padre o una madre ""originariamente español"" y, aunque no lo creas, es distinto ser originariamente español y ser español de origen, lo que dejaba fuera a muchos hijos de españoles (los de LMH y LMD quedaban fuera por ser de origen pero no originariamente).

Tras el nuevo reglamento de extranjería, el requisito ya no es ser hijo de originariamente español sino hijo de ""español de origen"" que abarca a los originarios y no originarios.

Ya se que no estás entendiendo NADA (extranjería creo que tampoco), pero tú confía en mí que es lo único de lo que se en la vida (y de animales, de eso también).

Después de todo este rollo que te he soltado, si quieres saber si puedes aplicar envíame dicha acta española y lo vemos!
IMPORTANTE: Esta residencia se tramita DESDE ESPAÑA y no importa si el español reside aquí o no o si está vivo o ha fallecido, solo importa que TÚ seas HIJO/A de ESPAÑOL DE ORIGEN.

Además, con esta residencia se te habilitará para trabajar tanto por cuenta ajena como propia durante un año y, una vez finalizado el año, podrás renovarla por dos años mas!

Ah! Se me olvidaba! Si reúnes requisitos y quieres hacer el trámite conmigo el costo es de 300€+IVA (363€) y no hay tasa aparejada.

Te mando un abrazo.

Sai.",,"esta plantilla es para las personas que escriben que dicen que tienen un PADRE o una MADRE español o español a -no es para nietos ni bisnietos, solo para HIJOS- y quieren saber si pueden vivir en España"
ESTAR A CARGO,Aplica a familiares ascendientes/descendientes que buscan residencia por estar 'a cargo' de un ciudadano/residente en España bajo el nuevo Reglamento. Requiere: dependencia económica real y convivencia/soporte demostrable. NO usar para reagrupación estándar si no procede.,"Hola!

¡Gracias por escribir!
En este mail te quiero explicar lo que el nuevo reglamento de extranjería entiende por ""estar a cargo"" para que puedas saber si se dan o no los requisitos.

Y es que, para poder REAGRUPAR  determinados familiares, la leyes migratorias españolas exigen acreditar que los familiares a los que se pretende reagrupar se encuentran A CARGO de la persona reagrupante.

Este nuevo reglamento de extranjería aclara, en su artículo 196, este concepto tan indeterminado y establece que una persona se encuentra a cargo de otra ""cuando exista una situación de hecho por la que se garantice una ayuda o apoyo material que acredite una dependencia económica o física"" y continúa explicando que debe entenderse por dependencia ECONÓMICA y dependencia FÍSICA.

- Dependencia ECONÓMICA: situación en la que la persona de quién esté a cargo el dependiente le preste ayuda material y/o económica para satisfacer sus necesidades básicas. De forma que la persona dependiente no debe ser capaz de proveer, por sí misma, sus necesidades más básicas.

En este punto, es necesario que la dependencia sea REAL (es decir, que no haya sido provocada para obtener una autorización de residencia en España), que sea ESTABLE (que, al menos, haya durado los 12 meses previos a la solicitud), que sea SOSTENIDA (que no sea una situación aislada y concreta) y que sea en el país de ORIGEN (es decir, esa necesidad debe ser previa a la migración).

Para valorar estas condiciones se tendrá en cuenta la situación personal, la situación familiar (si tiene otros familiares que deban hacerse cargo de ella en el país de origen o procedencia), la situación económica (si tiene o no ingresos mensuales y la cuantía de los mismos o patrimonio suficiente).

- Dependencia FÍSICA: aquí se hace referencia a la situación que puede venir determinada por motivos GRAVES de salud, por los que sea estrictamente necesario hacerse cargo del cuidado personal de dependiente, y siempre que carezca de otros apoyos adecuados en el país de origen o de procedencia, en cuyo caso, no tendrá la necesidad de trasladarse a España.

En este caso la dependencia se debe a motivos de salud (física o mental) y habrá que acreditarse médicamente; además la enfermedad debe ser lo suficientemente grave como para que la persona dependiente NO pueda hacerse cargo de su propia persona.

En el caso de padre o madre de ciudadano español o de su cónyuge o pareja de hecho, se entenderá que el ascendiente vive a su cargo cuando tenga 80 o más o cuando el ascendiente padezca una enfermedad consistente en pluripatologías tendentes a la cronicidad, pérdida severa de la capacidad funcional o mental.

Se lo complicado que es reagrupar a este tipo de familiares, pero si tienes pruebas médicas suelen salir favorables.

Espero haberte ayudado!

Abrazo.

Sai.",,"esta plantilla es para las personas que escriben porque quieren reagrupar a algún familiar que exige que esté a cargo de ellos (por ejemplo, ascendientes o hijos mayores de edad). Esta plantilla es muy importante porque el concepto de estar a cargo, hasta la reforma de mayo de 2025, era un concepto jurídico indeterminado, y el nuevo reglamento de extranjería ha venido a aclarar el mismo"
REAGRUPACIÓN FAMILIAR,"Aplica a residentes legales no comunitarios que desean reagrupar a su familia (cónyuge, hijos, etc.). Requiere: residencia renovada/en trámite, medios y vivienda adecuada. NO usar para familiares de ciudadanos UE (usar 'FAMILIAR UE 2025').","Hola!

Gracias por escribir.

La reagrupación familiar es el proceso que permite a los familiares de un ciudadano extranjero residente legal en España con residencia renovada, o en trámite de renovación, acompañarle en territorio español.

¿Qué familiares pueden ser reagrupados?

•        Cónyuge, pareja de hecho o pareja con la que el reagrupante mantenga una relación de afectividad análoga a la conyugal.

•        Hijos del reagrupante o del cónyuge o pareja menores de 18 años o mayores de esta edad incapaces de proveer sus propias necesidades.

•        Ascendientes en primer grado (padre o madre) del reagrupante o de su cónyuge o pareja, siempre que sean mayores de 65 años y el reagrupante tenga reconocida la residencia de larga duración.

¿Qué requisitos se deben acreditar?
-        Acreditar medios económicos suficientes: habrá que tener en cuenta el IPREM, que en el año 2021 está fijado en 564,90€, sumándose el 50% para cada familiar a reagrupar.

-        Informe de vivienda adecuada: que acredite que el reagrupante dispone de una vivienda apta para acoger al familiar o familiares reagrupados. Hay ocasiones en las cuáles el informe de vivienda adecuada solo lo podéis tramitar vosotros. En este caso, si el informe lo solicitáis y obtenéis vosotros, se descuentan 50€ del proceso.

-        Acreditación del parentesco.

-        Acta de manifestaciones donde declare que no reside con él ninguna otra pareja o cónyuge.

¿Cómo es el procedimiento de reagrupación familiar?
En primer lugar, es necesario que el familiar reagrupado se encuentre en su país de origen.

En segundo lugar, la solicitud de reagrupación familiar se realizará por el reagrupante ante la Oficina de extranjería correspondiente.

Un vez se concede dicha autorización, el familiar o familiares reagrupados deberán tramitar el correspondiente visado en el consulado.

Por último, una vez se notifica la concesión del visado, el familiar reagrupado podrá ingresar en España y tramitar su TIE.

¿Qué tipo de autorización obtiene el reagrupado?
Dicha autorización habilita para trabajar tanto por cuenta ajena como por cuenta propia en cualquier parte del territorio nacional, en cualquier ocupación, extendiéndose su vigencia hasta la misma fecha que la autorización de que sea titular el reagrupante en el momento de entrada del familiar en España.

¿Cuáles son nuestros precios?
 Nosotros realizamos el trámite de reagrupación familiar por un precio de 350€+IVA (423,50€). A dicho importe hay que sumar el importe de las tasas que varían por provincia + el costo de informe de vivienda adecuada que suele tener un costo de 30€ (dependiendo de la provincia).

Importante! Nosotros SOLO podemos realizar la parte del trámite que se realiza desde España, pero una vez resuelta la autorización de forma favorable el familiar reagrupado deberá tramitar su visado ante el consulado español que corresponda.

Una vez en España nosotros le ayudaremos con los trámites siguientes.

Un saludo!

Sai.",,"esta plantilla es para las personas que escriben y que tienen una residencia en España, van a renovar o ya han renovado y quieren traer a sus familiares a vivir aquí. Es importante tener en cuenta que este trámite es para los EXTRANJEROS (que no son españoles ni comunitarios) y que ya tienen residencia legal aquí)"
NÓMADA DIGITAL,"Aplica a quienes trabajan en remoto para empresas/clients fuera de España y desean VISADO/RESIDENCIA como trabajador a distancia. Requiere: relación laboral/mercantil remota, ingresos mínimos y titulación/experiencia. NO usar para freelancing local sin remotos.","Hola!

Gracias por escribir.

Te voy a mandar un pdf para que puedas conocer todos los requisitos necesarios para tramitar la residencia para nómadas digitales.

Por fa, lee muy bien todo el contenido porque sin todo eso no se puede tramitar, vale?

Abrazo.

Sai.",https://drive.google.com/file/d/1RS0AnIq9bJCIlb0zAYpnuF8sMgVdWdMh/view?usp=drive_link,esta plantilla es para las personas que directamente piden información para nómada digital. Esta plantilla es muy básica porque la información completa está en el pdf que se adjunta con esta respuesta
CUENTA BREVEMENTE,Plantilla de toma de requisitos: se pide al remitente un RESUMEN breve de su situación para orientar el caso. Usar cuando el mensaje es muy vago. NO usar si ya hay datos suficientes para otra plantilla.,"Hola!!

Gracias por escribir.

Con el fin de que no tengas que abonar 50€ de la consulta sin saber si podemos o no ayudarte, te pido que me cuentes de forma breve, por este medio, cuál es tu situación.

Si puedo ayudarte seguro lo haré!

Un abrazo.

Sai.",,"esta plantilla es para las personas que me envían un correo y nos dan tan poca información que no se qué necesitan. Por ejemplo: “información”, “ayuda para residencia”, “residencia con contrato”, “quiero una cita” etc). Entonces se les invita a que primero nos cuenten un poco la situación para saber si les podemos ayudar o no antes de agendarles una consulta"
EMPRENDER EN ESPAÑA,"Aplica a quienes desean residir emprendiendo (cuenta propia/ley de emprendedores). Requiere: plan de negocio, medios y encaje regulatorio. NO usar para PAC (Profesional Altamente Cualificado) ni Nómada Digital.","Hola!

Gracias por escribir.

Una de las formas más comunes de vivir en España sin pasaporte ni familia europea es a través del EMPRENDIMIENTO.

Las leyes españolas recogen DOS tipos de VISADOS para aquellos que deciden iniciar una actividad profesional propia en España y acogerse a una u otra lleva aparejados determinados requisitos y ambas tienen sus pros y sus contras.

Te explico la diferencia entre ambas autorizaciones para que puedas saber en cuál de ellas encaja tu proyecto :) 	
 
- VISADO DE EMPRENDEDORES: este visado no se encuentra regulado en la Ley de Extranjería si no en la propia ley de emprendedores.

Para este tipo de permiso es necesario que el Proyecto de actividad se refiera a actividades tecnológicas, de interés general o que vayan a generar un impacto económico en la provincia en la que se desarrolle así como la generación de puestos de trabajo.

Así, la Unidad de Grandes Empresas (UGE) establece que este tipo de autorización solo puede ser solicitada por personas extranjeras que pretendan iniciar, desarrollar o dirigir una actividad económica emprendedora.

Se entenderá como actividad emprendedora aquella que sea innovadora y/o tenga especial interés económico para España y a tal efecto cuente con un informe favorable emitido por la Empresa Nacional de Innovación Sociedad Anónima (ENISA) quien para su valoración tendrá en cuenta:

a) El perfil profesional del solicitante y su implicación en el proyecto.

b) El plan de negocio, que englobará una descripción del proyecto, del producto o servicio que desarrolla, y su financiación, incluyendo la inversión requerida y las posibles fuentes de financiación.

c) Los elementos que generen valor añadido para la economía española, la innovación u oportunidades de inversión.

Nosotros tramitamos este tipo de autorizaciones tanto si os encontráis en España como si os encontráis en vuestro país de origen aunque, en este último caso, tendriais que tramitar un visado posterior en el consulado, pero con la residencia ya aprobada.

Debido a que este tipo de residencia es bastante complejo de tramitar por los requisitos tan estrictos, la ley de extranjería recoge otra posibilidad para aquellos que quieren iniciar en España una actividad profesional pero no cumplen los requisitos para el visado anterior.

- VISADO POR CUENTA PROPIA: este visado es válido para TODOS aquellos que quieran emprender, independientemente de la actividad.	 .

Lo más importante en este visado es crear un buen proyecto de actividad y que se considere viable. Desde el punto de vista del negocio todos son viables, solo hay que hacer un buen plan de empresa!	
 
Además, con la nueva reforma del reglamento de extranjería se elimina la necesidad de contar con tantos medios económicos, de forma que solo vais a necesitar los necesarios para llevarlo a cabo (inversión inicial), que dependerá de vuestro proyecto.

Es importante tener en cuenta que el VISADO POR CUENTA PROPIA NO os permitirá traer a vuestra familia en un inicio, pero ellos podrán acompañaros con otro tipo de visado!

En este caso nosotros NO podemos tramitar dichas autorizaciones porque se realizan ante el consulado español del país de origen o de residencia en su totalidad, salvo que ya seáis titulares de una autorización previa en España (estudios, residencia no lucrativa, búsqueda de empleo, etc.), así como la renovación de una residencia por cuenta propia ya aprobada.

Sea como sea, lo importante es que sepáis muy bien que proyecto vais a presentar.

Nosotros os recomendamos que escribáis a Mónica Sacristán (@consultoriamuchasluces) a su WhatsApp para despejar todas vuestras dudas.	Ella no solo os dirá si tú proyecto aplica o no para emprendedores, si no que su materia es realizar un perfecto proyecto de actividad que hará que tu visado salga favorable!

Nosotros solo tramitamos renovaciones por cuenta propia, ya que el visado inicial se tramita desde el consulado del país de residencia.

Espero haberte ayudado con esta respuesta!	

Un abrazo.

Sai.

PD. Teléfono de Mónica: +34 697 39 83 50",,"esta plantilla es para las personas que me envían un correo quieren emprender en España, sin mas. En esta plantilla le explico las dos únicas vías para hacerlo posible y las diferencias entre ambas"
